N_unmapped	3532882	3532882	3532882
N_multimapping	5327473	5327473	5327473
N_noFeature	1072766	1073439	3043260
N_ambiguous	67	67	0
ENSCAFG00000020565	4367	4367	0
ENSCAFG00000020481	3585	3585	0
ENSCAFG00000026764	0	0	0
ENSCAFG00000025670	799	799	0
ENSCAFG00000020644	5	5	0
ENSCAFG00000025658	178	178	0
ENSCAFG00000025742	157	157	0
ENSCAFG00000043336	109	109	0
ENSCAFG00000025704	181	181	0
ENSCAFG00000044681	0	0	0
ENSCAFG00000025726	1850	1850	0
ENSCAFG00000020459	4257	4257	0
ENSCAFG00000038673	0	0	0
ENSCAFG00000048424	0	0	0
ENSCAFG00000027199	14	14	0
ENSCAFG00000025633	28	28	0
ENSCAFG00000043394	125	125	0
ENSCAFG00000022770	135	135	0
ENSCAFG00000025712	1267	1267	0
ENSCAFG00000022820	1	1	0
ENSCAFG00000025638	1616	1616	0
ENSCAFG00000048852	0	0	0
ENSCAFG00000022763	0	0	0
ENSCAFG00000020518	1701	1701	0
ENSCAFG00000026666	0	0	0
ENSCAFG00000042350	0	0	0
ENSCAFG00000025657	605	605	0
ENSCAFG00000022958	0	0	0
ENSCAFG00000044664	0	0	0
ENSCAFG00000020474	0	0	0
ENSCAFG00000044506	0	0	0
ENSCAFG00000027813	0	0	0
ENSCAFG00000022794	1503	1503	0
ENSCAFG00000025724	43	43	0
ENSCAFG00000025668	1	1	0
ENSCAFG00000025654	255	255	0
ENSCAFG00000022764	3	3	0
ENSCAFG00000025698	350	350	0
ENSCAFG00000027567	90	90	0
ENSCAFG00000020514	1	1	0
ENSCAFG00000022825	64	64	0
ENSCAFG00000022858	26	24	2
ENSCAFG00000025708	17	17	0
ENSCAFG00000022774	331	331	0
ENSCAFG00000022790	183	183	0
ENSCAFG00000049039	0	0	0
ENSCAFG00000044768	0	0	0
ENSCAFG00000049262	0	0	0
ENSCAFG00000050006	0	0	0
ENSCAFG00000048839	0	0	0
ENSCAFG00000043437	0	0	0
ENSCAFG00000042082	0	0	0
ENSCAFG00000046872	0	0	0
ENSCAFG00000043975	0	0	0
ENSCAFG00000047838	0	0	0
ENSCAFG00000047926	0	0	0
ENSCAFG00000049145	1	1	0
ENSCAFG00000028340	0	0	0
ENSCAFG00000041572	0	0	0
ENSCAFG00000041644	0	0	0
ENSCAFG00000043043	0	0	0
ENSCAFG00000025703	0	0	0
ENSCAFG00000027838	0	0	0
ENSCAFG00000020575	347	347	0
ENSCAFG00000022781	773	773	0
ENSCAFG00000020520	140	140	0
ENSCAFG00000025631	17	17	0
ENSCAFG00000020640	23	12	11
ENSCAFG00000046426	0	0	0
ENSCAFG00000044350	15	15	0
ENSCAFG00000020576	254	254	0
ENSCAFG00000020574	125433	125433	0
ENSCAFG00000020635	14966	14966	0
ENSCAFG00000020591	94	94	0
ENSCAFG00000020546	568	568	0
ENSCAFG00000020530	196	196	0
ENSCAFG00000020596	2716	2716	0
ENSCAFG00000020535	285	285	0
ENSCAFG00000020624	97	97	0
ENSCAFG00000049990	0	0	0
ENSCAFG00000031179	2	2	0
ENSCAFG00000031186	0	0	0
ENSCAFG00000029160	0	0	0
ENSCAFG00000044150	0	0	0
ENSCAFG00000025699	18318	18318	0
ENSCAFG00000020445	4712	4712	0
ENSCAFG00000025727	6969	6969	0
ENSCAFG00000026730	91	91	0
ENSCAFG00000046623	0	0	0
ENSCAFG00000032159	130	130	0
ENSCAFG00000025625	271	271	0
ENSCAFG00000049366	0	0	0
ENSCAFG00000027652	0	0	0
ENSCAFG00000020622	0	0	0
ENSCAFG00000046717	0	0	0
ENSCAFG00000044106	0	0	0
ENSCAFG00000048242	0	0	0
ENSCAFG00000020506	0	0	0
ENSCAFG00000041275	14	14	0
ENSCAFG00000020511	0	0	0
ENSCAFG00000043449	259	259	0
ENSCAFG00000046125	0	0	0
ENSCAFG00000020522	1284	1284	0
ENSCAFG00000048425	0	0	0
ENSCAFG00000025677	676	676	0
ENSCAFG00000020473	23	23	0
ENSCAFG00000041648	0	0	0
ENSCAFG00000049618	0	0	0
ENSCAFG00000020479	20	20	0
ENSCAFG00000020448	87	87	0
ENSCAFG00000020503	1501	1501	0
ENSCAFG00000041656	1	1	0
ENSCAFG00000020636	1	1	0
ENSCAFG00000025661	1	1	0
ENSCAFG00000042172	0	0	0
ENSCAFG00000020556	1216	1216	0
ENSCAFG00000022775	546	546	0
ENSCAFG00000020627	18	18	0
ENSCAFG00000046189	0	0	0
ENSCAFG00000048990	0	0	0
ENSCAFG00000025628	1	1	0
ENSCAFG00000048507	0	0	0
ENSCAFG00000020598	30	30	0
ENSCAFG00000022951	235	235	0
ENSCAFG00000020643	132	1	131
ENSCAFG00000020597	10	10	0
ENSCAFG00000048686	0	0	0
ENSCAFG00000022827	1	1	0
ENSCAFG00000020569	265	265	0
ENSCAFG00000020455	6988	6988	0
ENSCAFG00000022815	193	193	0
ENSCAFG00000026846	23	23	0
ENSCAFG00000026634	45	45	0
ENSCAFG00000025741	0	0	0
ENSCAFG00000026768	9	9	0
ENSCAFG00000020469	3	3	0
ENSCAFG00000042161	9	9	0
ENSCAFG00000025665	3372	3372	0
ENSCAFG00000045681	0	0	0
ENSCAFG00000020519	132531	132531	0
ENSCAFG00000025649	20879	20879	0
ENSCAFG00000020443	326622	326622	0
ENSCAFG00000044661	6	6	0
ENSCAFG00000030650	3	3	0
ENSCAFG00000043073	0	0	0
